lemma,count,per 10k,count in corpus (est)
ተራቈተ,9,0.45,900
ጋዝ,9,0.45,900
ቶን,9,0.45,900
ብልጫ,9,0.45,900
ረቡእ,9,0.45,900
አረገ,9,0.45,900
ድካም,9,0.45,900
ቀለደ,9,0.45,900
ሀያ,9,0.45,900
መስተዳድር,9,0.45,900
ድንጋጤ,9,0.45,900
ካርታ,9,0.45,900
ኑክሌር,9,0.45,900
አስፈላጊነት,9,0.45,900
ፍሰት,9,0.45,900
ስፖንሰር,9,0.45,900
ጩኸት,9,0.45,900
ጥንድ,9,0.45,900
ማለ,9,0.45,900
ፈለቀ,9,0.45,900
ካባ,9,0.45,900
ሰከንድ,9,0.45,900
ባንዲራ,9,0.45,900
ግዳጅ,9,0.45,900
ሶማል,9,0.45,900
ጀግንነት,9,0.45,900
ልፋት,9,0.45,900
ባከነ,9,0.45,900
ፈነቀለ,9,0.45,900
ምህዳር,9,0.45,900
ኢንጂነሪንግ,9,0.45,900
ፕሮፓጋንዳ,9,0.45,900
እልባት,9,0.45,900
ግድግዳ,9,0.45,900
ንዲያ,8,0.4,800
ምላስ,8,0.4,800
ጭቆና,8,0.4,800
አባወራ,8,0.4,800
ተበሳጨ,8,0.4,800
ራት,8,0.4,800
እመቤት,8,0.4,800
ጣፈጠ,8,0.4,800
ጽድቅ,8,0.4,800
ደመና,8,0.4,800
ሁለገብ,8,0.4,800
ሸቀጥ,8,0.4,800
ርጅ*,8,0.4,800
ምነ,8,0.4,800
ተቀየመ,8,0.4,800
ባልደረባ,8,0.4,800
ቁርጠኛ,8,0.4,800
ህወሀት,8,0.4,800
ጎልማሳ,8,0.4,800
ነጠረ,8,0.4,800
ቈጨ,8,0.4,800
ፍልስጤማዊ,8,0.4,800
ሄዋን,8,0.4,800
ቀብር,8,0.4,800
ሪፐብሊክ,8,0.4,800
ስድብ,8,0.4,800
ይግባኝ,8,0.4,800
ቂጣ,8,0.4,800
አስከሬን,8,0.4,800
አጠፈ,8,0.4,800
ማክሰኞ,8,0.4,800
ግጥሚያ,8,0.4,800
ተግባባ,8,0.4,800
እርግጠኝነት,8,0.4,800
ጓድ,8,0.4,800
ስታሊ,8,0.4,800
ወላይታ,8,0.4,800
ምልል,8,0.4,800
አውሮፓዊ,8,0.4,800
ላብ,8,0.4,800
ውርደት,8,0.4,800
ጠጠር,8,0.4,800
ባሌ,8,0.4,800
ሻምበል,8,0.4,800
ለጋ,8,0.4,800
ቀዳማዊ,8,0.4,800
ተደራሽነት,8,0.4,800
ገፈፈ,8,0.4,800
ድይን,8,0.4,800
ቀደደ,8,0.4,800
አምባ,8,0.4,800
ዲያብሎስ,8,0.4,800
ሸክም,8,0.4,800
ቅኔ,8,0.4,800
ቅጠል,8,0.4,800
ጠባ,8,0.4,800
ኤክስፖርት,8,0.4,800
ሰረገላ,8,0.4,800
ቅቤ,8,0.4,800
ጅምላ,8,0.4,800
በየነ,8,0.4,800
አጋርነት,8,0.4,800
ኳለ,8,0.4,800
አሴረ,8,0.4,800
ሴል,8,0.4,800
ፍየል,8,0.4,800
ፍንቅል,8,0.4,800
ፈቃደኝነት,8,0.4,800
በጠሰ,8,0.4,800
ብሶት,8,0.4,800
መዳፍ,8,0.4,800
ትስስር,8,0.4,800
ስታድዬም,8,0.4,800
ነቀነቀ,8,0.4,800
መኖ,8,0.4,800
ትኬት,8,0.4,800
ብሪታኒያ,8,0.4,800
መፈክር,8,0.4,800
ተነሳሽነት,8,0.4,800
ቅርጫት,8,0.4,800
ቤኒሻንጉል,8,0.4,800
ተነጠለ,8,0.4,800
ፊርማ,8,0.4,800
ፎቅ,8,0.4,800
ደቀቀ,8,0.4,800
ቀየሰ,8,0.4,800
ከሰመ,8,0.4,800
ሙሽራ,8,0.4,800
ትርኢት,8,0.4,800
ካቢኔ,8,0.4,800
በቅዋሚነት,8,0.4,800
ርእት,8,0.4,800
ደዌ,8,0.4,800
ለእዚ,8,0.4,800
ኤክስቴንሽን,8,0.4,800
ገበየ,8,0.4,800
ብክለት,8,0.4,800
ተጠራቀመ,8,0.4,800
የለ,8,0.4,800
ተረት,8,0.4,800
ክፋት,8,0.4,800
አይቀር,8,0.4,800
ጥቅል,8,0.4,800
ደሴት,8,0.4,800
ጅብ,8,0.4,800
ቢስ,8,0.4,800
ቀዳዳ,8,0.4,800
የአገሪት,8,0.4,800
አሮጌ,8,0.4,800
ቍጥርእ,8,0.4,800
ጨቈነ,8,0.4,800
መዘዝ,8,0.4,800
ፌስቡክ,8,0.4,800
ተንደረደረ,8,0.4,800
መርከብ,8,0.4,800
ሰላምታ,7,0.35,700
ዝርፊያ,7,0.35,700
ውእል,7,0.35,700
ሙግት,7,0.35,700
ምር,7,0.35,700
ጥይን,7,0.35,700
ተከባበረ,7,0.35,700
ሎሚ,7,0.35,700
ቀዳሚነት,7,0.35,700
ወህኒ,7,0.35,700
አነቀ,7,0.35,700
አሳብ,7,0.35,700
ደፋር,7,0.35,700
ተፋለመ,7,0.35,700
አመስጋኝ,7,0.35,700
ተቃጠለ,7,0.35,700
ሴክተር,7,0.35,700
ፋውንዴሽን,7,0.35,700
ልቦ,7,0.35,700
ልመና,7,0.35,700
መጀመሪያ,7,0.35,700
ጨፌ,7,0.35,700
ዳይመንድ,7,0.35,700
ግዞት,7,0.35,700
ቁመና,7,0.35,700
አረደ,7,0.35,700
ግርዛት,7,0.35,700
ግብጻዊ,7,0.35,700
ነፋ,7,0.35,700
ታጨ,7,0.35,700
ትጋት,7,0.35,700
ግድያ,7,0.35,700
አረረ,7,0.35,700
አቀማመጥ,7,0.35,700
ኋላቀር,7,0.35,700
ሻከረ,7,0.35,700
ግሽ*,7,0.35,700
ሀረግ,7,0.35,700
ግኝት,7,0.35,700
ወነጀለ,7,0.35,700
መስተጋብር,7,0.35,700
ካምፕ,7,0.35,700
ተቃረነ,7,0.35,700
ካነ,7,0.35,700
ነጣ,7,0.35,700
ፐርሰንት,7,0.35,700
ድምም,7,0.35,700
ገዥው,7,0.35,700
ሰኞ,7,0.35,700
ከሸፈ,7,0.35,700
ዚህች,7,0.35,700
ዲፕሎማሲ,7,0.35,700
ድር,7,0.35,700
እምቅ,7,0.35,700
ምእመን,7,0.35,700
ጾም,7,0.35,700
ሻለቃ,7,0.35,700
አብራሪ,7,0.35,700
አዋሽ,7,0.35,700
አረም,7,0.35,700
ብክነት,7,0.35,700
ሀሜት,7,0.35,700
እርቅ,7,0.35,700
ማስታወቂያ,7,0.35,700
ተጋድሎ,7,0.35,700
ገረፈ,7,0.35,700
ሞዴል,7,0.35,700
ጥገኝነት,7,0.35,700
ብዙው,7,0.35,700
ፍልሚያ,7,0.35,700
ቀደምትነት,7,0.35,700
ክፍፍል,7,0.35,700
የአህጉር,7,0.35,700
ሳሳ,7,0.35,700
ውጥን,7,0.35,700
ተሰማርተ,7,0.35,700
አምባገነን,7,0.35,700
ሽብርተኛ,7,0.35,700
ጠበሰ,7,0.35,700
አናሳ,7,0.35,700
ካሜራ,7,0.35,700
ሀሙስ,7,0.35,700
ሩብ,7,0.35,700
ወዲያ,7,0.35,700
መአዛ,7,0.35,700
እግረኛ,7,0.35,700
ምሳሌነት,7,0.35,700
ዋለለ,7,0.35,700
ተደራረበ,7,0.35,700
አነጠፈ,7,0.35,700
እንከን,7,0.35,700
ኩራት,7,0.35,700
እኒ,7,0.35,700
ጭራ,7,0.35,700
ገሰገሰ,7,0.35,700
ፈላ,7,0.35,700
አባዝ,7,0.35,700
ቅውር,7,0.35,700
እሸት,7,0.35,700
ሁነኛ,7,0.35,700
ቁመት,7,0.35,700
ነደደ,7,0.35,700
ገድ,7,0.35,700
ኮሙዩኒኬ,7,0.35,700
ዘፍጥረት,7,0.35,700
ንጽህና,7,0.35,700
አልኮል,7,0.35,700
ረበረበ,7,0.35,700
ደጃዝማች,7,0.35,700
ኢነርጂ,7,0.35,700
ላሰ,7,0.35,700
አከባበር,7,0.35,700
በመቶው,7,0.35,700
ጨበጨበ,7,0.35,700
ዋሻ,7,0.35,700
መደብ,7,0.35,700
ማእበል,7,0.35,700
ተምች,7,0.35,700
ስተ,7,0.35,700
ሸኘ,7,0.35,700
መንገደኛ,7,0.35,700
ቅርበት,7,0.35,700
ሌት,7,0.35,700
ትርምስ,7,0.35,700
ብልጽግና,7,0.35,700
ተዋንያ,7,0.35,700
ግፊት,7,0.35,700
ቀዘቀዘ,7,0.35,700
በረደ,7,0.35,700
ሽታ,7,0.35,700
ዘገነነ,7,0.35,700
ውሎ,7,0.35,700
ሸክላ,7,0.35,700
ፊል,7,0.35,700
ቁፋሮ,7,0.35,700
ጀልባ,7,0.35,700
ዋኘ,7,0.35,700
ቅጥል,7,0.35,700
ውህደት,7,0.35,700
አመጋገብ,7,0.35,700
ነፈገ,7,0.35,700
መባ,7,0.35,700
ሹም,7,0.35,700
አላንዳች,7,0.35,700
ቅዳሜ,7,0.35,700
ነዛ,7,0.35,700
ማንኛ,7,0.35,700
ብእር,7,0.35,700
ንቅክክ,7,0.35,700
ቱቦ,7,0.35,700
መስተንግዶ,7,0.35,700
ተጭበረበረ,7,0.35,700
ደብረ,7,0.35,700
ወገብ,7,0.35,700
ሀጢአተኛ,7,0.35,700
ቀጠቀጠ,7,0.35,700
እርድ,7,0.35,700
ተነጣጠረ,7,0.35,700
ዘነነ,7,0.35,700
ሰአሊ,7,0.35,700
ሙዚቀኛ,6,0.3,600
ሙት,6,0.3,600
ስሌት,6,0.3,600
ባር,6,0.3,600
ዋዛ,6,0.3,600
ኩታ,6,0.3,600
ተጠነጠነ,6,0.3,600
ቅባት,6,0.3,600
ፕሮቲን,6,0.3,600
ዋሸ,6,0.3,600
አከፋፈለ,6,0.3,600
ዳረ,6,0.3,600
ምደባ,6,0.3,600
አተገባበር,6,0.3,600
ሽጉጥ,6,0.3,600
ሚያንጸባርቅ,6,0.3,600
እጕል,6,0.3,600
ወረረ,6,0.3,600
ብእብ,6,0.3,600
አሳማኝ,6,0.3,600
ኮንትራክተር,6,0.3,600
ፍትሀዊነት,6,0.3,600
ግጭ*,6,0.3,600
ቃጣ,6,0.3,600
አማጽያ,6,0.3,600
ማ,6,0.3,600
አማን,6,0.3,600
ኮሙኒኬሽን,6,0.3,600
ሰባ,6,0.3,600
ዘይቤ,6,0.3,600
ፍይፍ,6,0.3,600
መድፍ,6,0.3,600
ደረገመ,6,0.3,600
ሰንበት,6,0.3,600
ክህነት,6,0.3,600
ብልት,6,0.3,600
ቍርጥ,6,0.3,600
እዛ,6,0.3,600
መረዘ,6,0.3,600
ባህሪያት,6,0.3,600
ወረርሽኝ,6,0.3,600
ብልግና,6,0.3,600
ወኔ,6,0.3,600
ስንታየህ,6,0.3,600
ትግብር,6,0.3,600
ውዳሴ,6,0.3,600
ቀፎ,6,0.3,600
ጐሰቈለ,6,0.3,600
ፈሪሳዊ,6,0.3,600
ቅናት,6,0.3,600
ኰረጀ,6,0.3,600
ጨዋነት,6,0.3,600
ገመድ,6,0.3,600
አስፋልት,6,0.3,600
ጭብርብር,6,0.3,600
ተዛወረ,6,0.3,600
ጉቦ,6,0.3,600
እንግዲያ,6,0.3,600
አዳኝ,6,0.3,600
ኮንፌዴሬ,6,0.3,600
ቅኝት,6,0.3,600
ረበሸ,6,0.3,600
የሁል,6,0.3,600
አመሸ,6,0.3,600
ኤች,6,0.3,600
ርኩስ,6,0.3,600
ፈለጠ,6,0.3,600
ንጋት,6,0.3,600
ከበበ,6,0.3,600
ድንክ,6,0.3,600
ጠጋ,6,0.3,600
ቅውስ,6,0.3,600
ደለለ,6,0.3,600
አመል,6,0.3,600
ትል,6,0.3,600
ድንገት,6,0.3,600
ኤግዚቢሽን,6,0.3,600
ከለሰ,6,0.3,600
ፈወሰ,6,0.3,600
ኩላሊት,6,0.3,600
ደራ,6,0.3,600
ግዴለ,6,0.3,600
መኸር,6,0.3,600
ብይን,6,0.3,600
አሰልጣኝነት,6,0.3,600
ጥንቅር,6,0.3,600
ጫት,6,0.3,600
ፋሲካ,6,0.3,600
ጥንጥትት,6,0.3,600
ጭብጥ,6,0.3,600
ደጃፍ,6,0.3,600
ሻረ,6,0.3,600
ቀለበት,6,0.3,600
ቴሌኮም,6,0.3,600
ሀዲድ,6,0.3,600
ምሬት,6,0.3,600
ታበየ,6,0.3,600
ጣሪያ,6,0.3,600
እገሌ,6,0.3,600
ትውር,6,0.3,600
ተከፋ,6,0.3,600
አብሮነት,6,0.3,600
ነውር,6,0.3,600
ፍጆታ,6,0.3,600
ቅሶ,6,0.3,600
ምርቃት,6,0.3,600
ህጻንነት,6,0.3,600
አካፈለ,6,0.3,600
ጽንንእ,6,0.3,600
አን,6,0.3,600
ሾፌር,6,0.3,600
ወነጨፈ,6,0.3,600
ፈጨ,6,0.3,600
ድባብ,6,0.3,600
ኮሎኔል,6,0.3,600
ያቺ,6,0.3,600
ድእግ,6,0.3,600
አግሮ,6,0.3,600
ለቀመ,6,0.3,600
ዋነኝነት,6,0.3,600
እልክ,6,0.3,600
የተተገበረ,6,0.3,600
ግብድድ,6,0.3,600
ጥፋተኛ,6,0.3,600
ላጠ,6,0.3,600
ዲፕሎማት,6,0.3,600
ተቀነባበረ,6,0.3,600
ጋሻ,6,0.3,600
ብጹእ,6,0.3,600
በህገመንግስት,6,0.3,600
ሀላ,6,0.3,600
ቆሎ,6,0.3,600
ድምቀት,6,0.3,600
ርህራሄ,6,0.3,600
ቅዝቃዜ,6,0.3,600
በረዶ,6,0.3,600
ዘበኛ,6,0.3,600
የአሜሪካ,6,0.3,600
ለፋ,6,0.3,600
ጤንነት,6,0.3,600
ማእቀብ,6,0.3,600
ዘረኝነት,6,0.3,600
ኤርትራዊ,6,0.3,600
ደቀ,6,0.3,600
ተዛመደ,6,0.3,600
ጨረር,6,0.3,600
አርጋጋ,6,0.3,600
ታቦት,6,0.3,600
የስነልቦ,6,0.3,600
ቸኰለ,6,0.3,600
ቅንቅን,6,0.3,600
መከነ,6,0.3,600
ጀምበር,6,0.3,600
በደለ,6,0.3,600
ፕሮፌሽናል,6,0.3,600
ተድላ,6,0.3,600
ደምበኛ,6,0.3,600
አንደበት,6,0.3,600
ትከሻ,6,0.3,600
ቅንነት,6,0.3,600
እንዲ,6,0.3,600
አነጋጋሪ,6,0.3,600
ግሽበት,6,0.3,600
ሱዳናዊ,6,0.3,600
ትምባሆ,6,0.3,600
ጠቦት,6,0.3,600
አንኳር,6,0.3,600
አስተጓጐለ,6,0.3,600
ሰከረ,6,0.3,600
ምስዝዝ,6,0.3,600
ወለል,6,0.3,600
ፓውንድ,6,0.3,600
ቅጽበት,6,0.3,600
ጌጥ,6,0.3,600
አር,6,0.3,600
ተንበረከከ,6,0.3,600
ተቀናቃኝ,6,0.3,600
ሴራ,6,0.3,600
ተቀጣጠለ,6,0.3,600
ፕሬዚዳንትነት,6,0.3,600
ተደመመ,6,0.3,600
ሜዳልያ,6,0.3,600
አልያ,6,0.3,600
ሪከርድ,6,0.3,600
ልደታ,6,0.3,600
ወባ,6,0.3,600
ክምር,6,0.3,600
ነገድ,6,0.3,600
ግእዝ,6,0.3,600
አድማ,6,0.3,600
ገሚስ,6,0.3,600
ረብሻ,6,0.3,600
ድራማ,6,0.3,600
አጥፊ,6,0.3,600
ተጠናወተ,6,0.3,600
ነጠላ,6,0.3,600
ቴኒስ,6,0.3,600
ትግበራ,6,0.3,600
ምንነት,6,0.3,600
ልጃገረድ,6,0.3,600
ድግ,6,0.3,600
ዝንጀሮ,6,0.3,600
ረከሰ,6,0.3,600
ሙዝ,6,0.3,600
ወዘወዘ,5,0.25,500
አፈሰ,5,0.25,500
ጨፈጨፈ,5,0.25,500
ረጨ,5,0.25,500
ሰንሰለት,5,0.25,500
ደነዘዘ,5,0.25,500
መዋጮ,5,0.25,500
ጥሪት,5,0.25,500
ድህረ,5,0.25,500
ምረቃ,5,0.25,500
ቴድሮ,5,0.25,500
መንኮራኩር,5,0.25,500
ጋሽ,5,0.25,500
አይነ,5,0.25,500
መርሆው,5,0.25,500
ፈዘዘ,5,0.25,500
መርዝ,5,0.25,500
ሊዝ,5,0.25,500
ጳጳስ,5,0.25,500
አባትዬ,5,0.25,500
ውድቀት,5,0.25,500
አውጅ,5,0.25,500
ጋረጠ,5,0.25,500
ሸረሸረ,5,0.25,500
መረጣ,5,0.25,500
ኦርቶዶክስ,5,0.25,500
ወፈረ,5,0.25,500
መጻህፍት,5,0.25,500
ተጋላጭነት,5,0.25,500
ዛቻ,5,0.25,500
ልሳን,5,0.25,500
ቢኒያ,5,0.25,500
አደር,5,0.25,500
ጋለ,5,0.25,500
አክሊል,5,0.25,500
ሽረት,5,0.25,500
ውፍረት,5,0.25,500
ተሰናዳ,5,0.25,500
አርብቶ,5,0.25,500
ሌዋዊ,5,0.25,500
አንቀሳቃሽ,5,0.25,500
ፍተሻ,5,0.25,500
ባልንጀራ,5,0.25,500
ስትንግድ,5,0.25,500
ባት,5,0.25,500
ደብተር,5,0.25,500
ሰነጠቀ,5,0.25,500
አንግ,5,0.25,500
ትእይንት,5,0.25,500
ቅድምጥት,5,0.25,500
ነቀፈ,5,0.25,500
ቀረና,5,0.25,500
ጥምረት,5,0.25,500
ኮፒ,5,0.25,500
ተግሳጽ,5,0.25,500
ዋዜማ,5,0.25,500
ሽፍታ,5,0.25,500
ጌት,5,0.25,500
ተጸየፈ,5,0.25,500
ድንኳን,5,0.25,500
ቅዠት,5,0.25,500
ጨቀጨቀ,5,0.25,500
ጭብጨባ,5,0.25,500
ቀለጠ,5,0.25,500
ሰንጠረዥ,5,0.25,500
በትር,5,0.25,500
ከተመ,5,0.25,500
ውቅር,5,0.25,500
ተደናቀፈ,5,0.25,500
ሚስተዋል,5,0.25,500
ተበገረ,5,0.25,500
ፕሮዳክ,5,0.25,500
የኤሌክትሮኒክ,5,0.25,500
ኢስላሚክ,5,0.25,500
ፓራሊምፒክ,5,0.25,500
ሙዚየም,5,0.25,500
ለመጠ,5,0.25,500
ደበለቀ,5,0.25,500
አልቃይዳ,5,0.25,500
ፍንዳታ,5,0.25,500
ሀምሳ,5,0.25,500
ጎጆ,5,0.25,500
ፓኬጅ,5,0.25,500
ነፍሳት,5,0.25,500
በረበረ,5,0.25,500
ሹክሹክታ,5,0.25,500
መልእክተኛ,5,0.25,500
ዛለ,5,0.25,500
የሚያካሂደ,5,0.25,500
ቤተልሄም,5,0.25,500
ናኘ,5,0.25,500
አድራሻ,5,0.25,500
አርማ,5,0.25,500
ግለት,5,0.25,500
ቤዛ,5,0.25,500
ቅንጅእ,5,0.25,500
ትንታኔ,5,0.25,500
ቴኳንዶ,5,0.25,500
አውቶቡስ,5,0.25,500
ዝግጁነት,5,0.25,500
ተቀናጅተ,5,0.25,500
ወሲብ,5,0.25,500
ተጣደፈ,5,0.25,500
ፍንጭ,5,0.25,500
ንድድ,5,0.25,500
ደርሶ,5,0.25,500
ንብ,5,0.25,500
ፍቅረኛ,5,0.25,500
ጭንቅ,5,0.25,500
ምውን,5,0.25,500
ውርጅብኝ,5,0.25,500
ከበተ,5,0.25,500
ሀፍረት,5,0.25,500
ማተኮር,5,0.25,500
እንስራ,5,0.25,500
ወትሮ,5,0.25,500
ጡት,5,0.25,500
ዋነኛነት,5,0.25,500
አለት,5,0.25,500
ተወሀደ,5,0.25,500
ደፈረሰ,5,0.25,500
ከካ,5,0.25,500
ወቅድ,5,0.25,500
ቅልጥፍና,5,0.25,500
መቀናጀት,5,0.25,500
ዝምት,5,0.25,500
እክል,5,0.25,500
ዛተ,5,0.25,500
ሀይቅ,5,0.25,500
ቅናሽ,5,0.25,500
ጠንቅ,5,0.25,500
ትንፋሽ,5,0.25,500
ፋርስ,5,0.25,500
ድብደባ,5,0.25,500
ቀዶ,5,0.25,500
ይሄኛ,5,0.25,500
የጣሊያን,5,0.25,500
ከፍታ,5,0.25,500
ቤንዚን,5,0.25,500
ሸተተ,5,0.25,500
ገጨ,5,0.25,500
መጽሀፍት,5,0.25,500
ኔትወርክ,5,0.25,500
አላግባብ,5,0.25,500
ግዝ,5,0.25,500
ደወለ,5,0.25,500
ድርሰት,5,0.25,500
ጓደኝነት,5,0.25,500
አከተ,5,0.25,500
ገፍ,5,0.25,500
ንይት,5,0.25,500
ሽንት,5,0.25,500
ካድሬው,5,0.25,500
እምብርት,5,0.25,500
ኤችአይቪ,5,0.25,500
ዋልያ,5,0.25,500
አጎት,5,0.25,500
ወቀሳ,5,0.25,500
ጉምሩክ,5,0.25,500
በርበሬ,5,0.25,500
ወራት,5,0.25,500
ግመል,5,0.25,500
ሲጋራ,5,0.25,500
ከእዚ,5,0.25,500
ክበብ,5,0.25,500
ሽክርክር,5,0.25,500
የጀርመን,5,0.25,500
ጭቅጭቅ,5,0.25,500
ጭካኔ,5,0.25,500
ንድፍ,5,0.25,500
ቀነበረ,5,0.25,500
እነ,5,0.25,500
ቋት,5,0.25,500
ትንተና,5,0.25,500
አጋጣሚ,5,0.25,500
የፌደራሊዝ,5,0.25,500
ቀናት,5,0.25,500
በራፍ,5,0.25,500
ደረት,5,0.25,500
ተለመ,5,0.25,500
ቅቡእ,5,0.25,500
ውቅያኖስ,5,0.25,500
አበጠ,5,0.25,500
ዝላይ,5,0.25,500
ጽዳት,5,0.25,500
አዎ,5,0.25,500
ማበረታቻው,5,0.25,500
አገሬ,5,0.25,500
ኢህአፓ,5,0.25,500
ጋን,5,0.25,500
ግንድ,5,0.25,500
ጣጣ,5,0.25,500
ጌትነት,5,0.25,500
ለዛ,5,0.25,500
ትክልእ,5,0.25,500
መዘከር,5,0.25,500
የበለጸግ,5,0.25,500
አቀባበል,5,0.25,500
መዝገብ,5,0.25,500
ፋይል,5,0.25,500
ካም,5,0.25,500
ጠማ,5,0.25,500
ጠብታ,5,0.25,500
አሮጊት,5,0.25,500
ኦዲተር,5,0.25,500
ተገዘተ,5,0.25,500
ጎል,5,0.25,500
ወደር,5,0.25,500
ሂስ,5,0.25,500
ለኰሰ,5,0.25,500
እብራይስጥ,5,0.25,500
አገልጋይነት,5,0.25,500
ብዝሀነት,5,0.25,500
ትቅኵር,5,0.25,500
ውጥረት,5,0.25,500
እርጅና,5,0.25,500
ባለጉዳይ,5,0.25,500
